Zona,Distritos,Latitude,Longitude
Central Comercial,Centro,-20.814428,-49.383890
Centro Norte,Boa Vista,-20.802519,-49.386430
Centro Norte,Jardim Canaã,-20.805040,-49.398343
Centro Leste,Centro Leste,-20.817310,-49.372294
Norte,Santo Antônio,-20.761254,-49.395358
Norte,Elmaz,-20.770344,-49.375295
Norte,Maria Lúcia,-20.769073,-49.403897
Norte,Dom Lafayete,-20.775110,-49.388576
Norte,Solo Sagrado,-20.780569,-49.411970
Norte,Eldorado,-20.780569,-49.411970
Norte,Jardim Gisete,-20.786791,-49.421170
Norte,Vetorasso,-20.796233,-49.412044
Oeste,Jardim Antonieta,-20.794323,-49.431953
Oeste,Gonzaga de Campos,-20.812032,-49.421430
Oeste,Alto Rio Preto,-20.819477,-49.402308
Oeste,Maracanã,-20.828436,-49.409337
Oeste,Terraf,-20.836924,-49.413940
Leste,Alto Alegre,-20.788550,-49.359902
Leste,Anchieta,-20.790669,-49.372412
Leste,São Deocleciano,-20.789858,-49.346650
Leste,Maceno,-20.804527,-49.372733
Leste,Dahma,-20.812556,-49.335194
Leste,Soraaya,-20.819290,-49.354608
Leste,Cristo Rei,-20.831744,-49.351275
Leste,Vila Toninho,-20.845270,-49.340171
Sul,São Manoel,-20.828299,-49.399936
Sul,Urano,-20.832005,-49.375817
Sul,Higienópolis,-20.835832,-49.385718
Sul,Moisés Miguel Haddad,-20.857019,-49.410583
Sul,Vivendas,-20.846980,-49.397629
Sul,São Francisco,-20.845394,-49.381197
Sul,Cidade Jardim,-20.844165,-49.364216
Sul,Estância Jóquei Clube,-20.857991,-49.345624
Sul,Auferville,-20.748540,-49.336642
